"78d4d60c50b23182f38df267d595a3b467db1250","Robust and Adaptive Control","",2024,228
"24c8e78a0bc95f87e780e84ee0ec467fecbd732e","Distributed Model Reference Adaptive Control for an Uncertain Modular Robotic System","",2024,0
"9a564f4142a74e390f9aa0b4101defbbd19c6171","Gain-Scheduled Model Reference Adaptive Control for a Guided Projectile","",2024,0
"728451560f1827db19f3481aca455a9383ede994","Evaluation of First-Order Actuator Dynamics and Linear Controller for a Bio-Inspired Rotating Empennage Fighter Aircraft","",2024,0
"718b20406cd7c34a0500328b4f468ff9998e44d8","Handling Quality-Oriented Tuning Procedure of a Dynamic Inversion Control Law via a Robust Control Technique","",2024,0
"8a4a63554635a127e28682ef36a8a5d42d6b1b5e","The Power Function for Adaptive Control in Native Space Embedding","This paper studies how the power function in a reproducing kernel Hilbert space (RKHS) can be used system-atically to design error bounding methods of adaptive estimation and control via the native space embedding method. The approach is based on viewing the original system of ordinary differential equations (ODEs) as a type of distributed parameter system (DPS), and subsequently defining realizable controllers by approximating the DPS with scattered bases over a domain of interest. The approach provides rigorous bounds on ultimate performance guarantees for uncertainty classes defined in the native space. One result derives an upper bound on the ultimate performance of the adaptive controller in terms of the power function. Another version of this upper bound shows how the ultimate performance can bounded in terms of a fill distance of centers of approximation in subsets that contain the closed loop trajectory. In contrast to the general theory for error bounding adaptive controllers in Euclidean space, the general approach in this paper works for functional uncertainties in any RKHS.",2023,0
"9e7caff88467673c6c12210b62953d87acacfce0","Synthesis and verification of robust-adaptive safe controllers","Safe control with guarantees generally requires the system model to be known. It is far more challenging to handle systems with uncertain parameters. In this paper, we propose a generic algorithm that can synthesize and verify safe controllers for systems with constant, unknown parameters. In particular, we use robust-adaptive control barrier functions (raCBFs) to achieve safety. We develop new theories and techniques using sum-of-squares that enable us to pose synthesis and verification as a series of convex optimization problems. In our experiments, we show that our algorithms are general and scalable, applying them to three different polynomial systems of up to moderate size (7D). Our raCBFs are currently the most effective way to guarantee safety for uncertain systems, achieving 100% safety and up to 55% performance improvement over a robust baseline.",2023,0
"8c298d10cc5ef3f36aab12105abf33cfc7df9369","Research on Variable-Swept Hybrid Aerial Underwater Vehicle Plunge-Diving Control Based on Adaptive Dynamic Surface Control","The variation in aerodynamic parameters during the process of a variable sweepback hybrid aerial underwater vehicle (HAUV) affects flight stability. During the air–water trans-media locomotion, there are medium mutations and solid–liquid gas coupling phenomena, resulting in the complex dynamic process of HAUV. To ensure stable control during the trans-media process of a variable sweepback vehicle, this study proposes a neural-network-based adaptive dynamic surface control method for aircraft flight-path angle. This method aims to establish an effective control model for the entire process of air to media transition, in response to the characteristics of uncertainty and external disturbances in the process of variable backsweeping in the air and media transition. By utilizing the multibody dynamics method, the dynamic equations for variable-swept vehicles are established and transformed into a rigorous feedback system with model uncertainty. The adaptive dynamic surface method in this paper introduces a first-order filter, which overcomes the “differential explosion” problem in traditional backstepping control design through differential filtering; the unknown parameters present in the model are estimated online through adaptive laws, and the uncertain parts of the system are overcome through nonlinear damping items. By analyzing Lyapunov stability, the semi-global stability of the required closed-loop system can be obtained, and adjusting the controller parameters can make the tracking error infinitely small. Numerical simulations are conducted to illustrate the tracking control of flight-path angles for different plunge-diving angle rates and strategy of ingress. The results show that HAUV with variable-swept configuration with different strategy has a great effect on the stability of plunge-diving locomotion; the designed controller can effectively track the target trajectory and has a certain degree of robustness and adaptability.",2023,0
"ad9bcdbc76fa112779c0622478b586d4cf05fd9f","Comparison of Methods to Design Parametric Uncertainty Compensator for Adaptive Control System of Quadrotor Euler Angles","Using a mathematical model of a quadrotor, the Euler angle dynamics equations are analyzed to obtain a linear regression that describes the plant parametric uncertainty. Based on this representation, model reference adaptive control systems with both adjustable baseline controller and uncertainty compensator based on (i) a linear regression and (ii) a neural network are designed. Asymptotic stability of the augmented tracking error is proved for both systems. The results of numerical experiments demonstrate that the neural-network-based compensator, in contrast to the linear-regression-based one, copes with the matched uncertainty that is not included in the original description of the plant.",2023,0
"443a57793ce608fe63cb071415ad47b747306c86","Constructive Algorithm to Vectorize P ⊗ P Product for Symmetric Matrix P","",2023,0
"7e8216ab71a1a0150eea9c54edc1150ac591e5af","The REEF Autonomous Vehicles Laboratory: A collaboration hub expediting flight capabilities for the U.S. Department of defense and academic research","The field of aerial robotics is growing rapidly, along with the promise of assisting human operators with tasks that are hazardous, inaccessible, or time consuming [1]. Military and law enforcement organizations are especially interested in such capabilities due to the naturally hazardous nature of their missions, driving them to become early supporters and adopters. A particularly challenging mission is the exploration of unknown indoor environments, which has potential applications in exploring and clearing enemy compounds, searching for accident survivors, or responding to active shooters. Multirotor vehicles have been proposed and occasionally used in such scenarios, but as capabilities increase, so does the complexity of the hardware and software. As a result, researchers interested in exploring this field, as well as those in myriad other fields that depend on aerial experimentation, face an increasingly high barrier to entry: establishing flight capabilities. This article is intended to help aspiring researchers get their aerial robotics experiments off the ground.",2023,1
"7cdb7931e8e9a50ee246b6eb6cfcc9caadca9ec4","Output constrained neural adaptive control for a class of KKVs with non-affine inputs and unmodeled dynamics","  In this paper, an adaptive neural output-constrained control algorithm is proposed for a class of non-affine kinetic kill vehicle (KKV) systems. The key point is that the non-affine control law can be designed and the output of the KKV system conform to the output limit with the aid of the proposed method. Due to the aerodynamic moments, the actual control torque is non-affine, which can be addressed by introducing an integral process to the design of the controller. Besides, in order to improve the control precision, a nonlinear mapping is put forward so that the output constraint can be transformed to the constraint of the introduced dynamic signal that can be simply achieved. From the simulation results it can be concluded that the states of the KKV system can track the desired trajectories in spite of different working conditions and the control precision is higher compared with other control methods.",2023,0
"5200adae48236ad798ff57fa5c329314004abb24","Robust Cascade MRAC for a Hybrid Grid-Connected Renewable Energy System","Hybrid grid-connected renewable energy systems have gained significant importance in sustainably responding to an increased electrical energy demand. These are time-varying nonlinear dynamical plants, where the value of their parameters depends on changing weather conditions and the alternating grid voltage with randomly fluctuating amplitude. This paper proposes a robust cascade MRAC for nonlinear plants representing a class of these systems, which includes n renewable energy converts and a DC/AC single-phase full bridge inverter. The proposal reduces commissioning time by avoiding linearization and knowledge of the plant parameters. Moreover, it includes specific formulas for tuning the controller parameters that decrease their adjustments based on trial and error. Finally, it uses a direct adaptive method with adaptive laws having σθ modification and an inner loop at least five times faster than the outer loop. The proposition validation includes the theoretical stability proof based on the Lyapunov stability method and Barbalat’s Lemma. Furthermore, it presents comparative simulation results with quoted cascade PI controllers for a monophasic system, including two renewable energy sources and injection. Both techniques effectively track setpoint changes of the energy sources’ currents and direct current bus voltage, showing the proposal similar or reduced ripple. At the same time, both ensure robustness against decreased photovoltage panels irradiance, increased fuel cells voltage, and grid voltage amplitude random fluctuations. However, the proposal does these things while avoiding prior linearization and unknowing the plant parameters.",2023,3
