"PublisherID","EditionID"," Edition_name"," type"," city"
"ab066af1-bfee-42da-84bb-42f7e199d0d0","ceff2b61-20d1-462f-84e2-5e79c7876afa","IEEE Conference on Decision and Control","conference","Brisbane"
"ab066af1-bfee-42da-84bb-42f7e199d0d0","9708e375-3110-457b-bf2b-6404996f3023","IEEE Conference on Decision and Control","conference","Brisbane"
"ab066af1-bfee-42da-84bb-42f7e199d0d0","04ab5286-50ac-4de3-9944-bcca8de09294","IEEE Conference on Decision and Control","conference","Brisbane"
"ab066af1-bfee-42da-84bb-42f7e199d0d0","705ddd33-f8b3-48f9-9b7e-8dff5ffd9445","IEEE Conference on Decision and Control","conference","Brisbane"
"ab066af1-bfee-42da-84bb-42f7e199d0d0","ab4bb8fa-fcc5-4939-acd9-282be9040d83","IEEE Conference on Decision and Control","conference","Brisbane"
"ab066af1-bfee-42da-84bb-42f7e199d0d0","adeddb4f-834f-42b3-a857-f079b082abaf","IEEE Conference on Decision and Control","conference","Brisbane"
"ab066af1-bfee-42da-84bb-42f7e199d0d0","ddbe4936-6581-4984-a47e-236cfae7ad0a","IEEE Conference on Decision and Control","conference","Brisbane"
"ab066af1-bfee-42da-84bb-42f7e199d0d0","dec97e7d-b149-4ad0-b027-525d1d8421ae","IEEE Conference on Decision and Control","conference","Brisbane"
"ab066af1-bfee-42da-84bb-42f7e199d0d0","235f939d-b553-454e-8e81-f8f794ce699b","IEEE Conference on Decision and Control","conference","Brisbane"
"ab066af1-bfee-42da-84bb-42f7e199d0d0","22158dd3-3347-41c1-9103-3340011cbe74","IEEE Conference on Decision and Control","conference","Brisbane"
"ab066af1-bfee-42da-84bb-42f7e199d0d0","8c1f8375-d5e5-4e6e-a215-c62a2c6068fa","IEEE Conference on Decision and Control","conference","Brisbane"
"ab066af1-bfee-42da-84bb-42f7e199d0d0","20809492-0659-4cd5-8153-5dd1cd1932a1","IEEE Conference on Decision and Control","conference","Brisbane"
"ab066af1-bfee-42da-84bb-42f7e199d0d0","ecd6a24c-99ad-41b0-acd9-aba8972c2d16","IEEE Conference on Decision and Control","conference","Brisbane"
"ab066af1-bfee-42da-84bb-42f7e199d0d0","5cc0c6dc-53b0-4425-95a6-2d94cae00190","IEEE Conference on Decision and Control","conference","Brisbane"
"ab066af1-bfee-42da-84bb-42f7e199d0d0","dda8df58-03d4-4bee-991a-70ef2e0965fc","IEEE Conference on Decision and Control","conference","Brisbane"
"ab066af1-bfee-42da-84bb-42f7e199d0d0","1ab0de4a-40dc-4995-96ab-84872eaca46c","IEEE Conference on Decision and Control","conference","Brisbane"
"ab066af1-bfee-42da-84bb-42f7e199d0d0","4b4fb183-fecb-428b-924e-ec9609d35f19","IEEE Conference on Decision and Control","conference","Brisbane"
"ab066af1-bfee-42da-84bb-42f7e199d0d0","95d88562-ddb9-4713-8473-b0ddb62dfd8c","IEEE Conference on Decision and Control","conference","Brisbane"
"ab066af1-bfee-42da-84bb-42f7e199d0d0","5f8907d4-ede8-482a-8476-fe882cf504f6","IEEE Conference on Decision and Control","conference","Brisbane"
"ab066af1-bfee-42da-84bb-42f7e199d0d0","b1ad2506-61eb-479f-86e5-74f612599586","IEEE Conference on Decision and Control","conference","Brisbane"
"ab066af1-bfee-42da-84bb-42f7e199d0d0","039e8fb8-82cf-49f1-a2bb-9a2e404d4adb","IEEE Conference on Decision and Control","conference","Brisbane"
"fe4d09f8-d278-4bfb-b73a-1a6a0e22f6a3","6cb44f9d-8aa3-45b7-bf7d-8c16b1a58d23","American Control Conference","conference","Portland"
"fe4d09f8-d278-4bfb-b73a-1a6a0e22f6a3","c6028aac-8d3d-42d6-9b3a-518cba987fda","American Control Conference","conference","Portland"
