"00103228-fd10-4ffa-a362-e7bf83a46836","cruise electric vertical"
"00274aa6-52d6-460a-9e99-3f1f0ea1b855","function approximation property"
"0046cdcb-175a-416d-aa0b-079872e13990","vfa"
"0061fb6a-3bba-49b1-bfd4-2a75383ebc09","stochastic ensemble"
"006e3ead-cd63-4ae4-8e84-c311542998e0","velocity control subsystem"
"007ec922-e7c8-4361-b961-1b65c664a012","payload using multiple"
"00913a38-9532-4e8d-9818-5c0d9ebef427","source system"
"00a83f30-610b-4002-a31f-03dd97e83e17","strict positive realness"
"00c063c2-2a67-4375-8804-af9c035e14dd","cyber-physical systems subject"
"00c222c1-4d0f-43e9-aa36-b0f74610f9c6","asymmetric time-varying full-state"
"00e54b23-64e2-42cd-bc34-f6ac54dea2e2","identification algorithm"
"00e68888-7d27-4241-a417-224720c1d7ab","commercial and industrial"
"00e90649-8223-466c-9941-cc003ef2cbd1","emerging research field"
"00ec85fe-e970-4d0a-8e16-4f049a4714ba","implicit constraints stemming"
"00f85223-9722-4ba5-858b-fa1a9cf65613","development of effective"
"010142ea-d978-4e81-8130-b8fc14cb8d53","impact on future"
"01160021-e645-4687-8c45-1dc2475cfeab","block-oriented wiener"
"01165c15-c264-4f55-8aea-5051a5186cb0","solving global optimization"
"011be976-71a5-4dfa-8a32-38c4786e643c","stage of theoretical"
"011eae91-683d-4982-8104-47ca45f17c35","adaptive critic designs"
"014ce248-5ede-4f91-8cf6-03808966696e","acyclic interaction"
"0150f25f-ceca-4242-948f-48ce3d095112","conventional state-space mrac"
"015a7f75-8614-41ee-a145-c0058f28e7b6","resist process forces"
"01bc6031-6238-414a-9d0e-44349d75d5f4","policies"
"01bef628-4fdd-4954-afbd-eabde8473608","failures"
"02126fe1-6c92-45a1-81ef-84d8bb8c43d8","series elastic actuator‐based"
"023b76f4-848e-43a8-8962-a4ea41789047","constantly increasing"
"02a9d66b-9023-4061-a620-14ddc557d918","proposed method"
"02d2d624-cb0b-44ee-ab6d-19193904a0c7","fully distributed cooperation"
"02df5420-1367-48c7-86c8-4f59f29d9791","optimizing the flight"
"03591ed9-3c14-43d9-b31d-26e00c0582d2","frequency power supply"
"0365d9af-24b7-4290-a90b-40b6ec1b409b","rejecting heave-induced pressure"
"0365e1c6-af4a-4b6b-9c48-db281fca6c7f","based on immersion"
"03824b79-b777-476e-81d5-c1379ad24076","simulation-based verification"
"0386d60d-15fd-4c17-bfcd-abe427d37b40","rcp"
"0389c7bc-ec87-4519-9746-f7c67e46e1cc","output feedback control"
"03acbbfa-8164-4f1b-9765-6cd41bac2335","dynamics of cholera"
"03e3d2cd-fc97-4008-aa50-5a14301ea8b5","finite set"
"03ec2ca1-c922-4756-8586-b79f8140a246","design and analysis"
"03eebeec-2753-4d5b-bd71-a2702f879623","l'espace aerien souleve"
"03f68da5-9114-4a06-a94d-dc5b0b9f139e","offer time-saving solutions"
"03f9b5db-ddcb-46bc-be4c-0f1254cfacb6","transporting missions"
"04013fdd-38b7-4375-bd93-731696017350","leader"
"044d7b87-0e71-45ac-aca7-53b7ab9b7db7","combinatorial optimisation problem"
"04a7bf80-c09d-4720-9dfe-9530685b55c7","paper puts forward"
"04aa0d70-5bb7-43ed-8abc-5da393540ce6","рамках современной теории"
"04ab43b6-47e8-491c-a6d4-369c875abef3","class of mimo"
"04ae2130-931c-4683-b9a5-fd90ee3d06c4","plant parameter adaptation"
"04b1e891-d001-46e5-98f9-9daa471d6f63","modelling uncertainties"
"04c71cda-e777-426b-a791-5d3480d7eb6d","wind turbines"
"04d7d9b0-5d4d-4397-8bad-d1df49d9bf03","full state constraints"
"050a592f-bf86-4773-89ef-6851601a0f3c","error vector"
"051159b2-6322-4420-9ad2-35e1d59f554b","shown promising theoretical"
"0512a9b6-e036-4a89-8732-0c18bc5a2023","synthesis typically involves"
"052dac23-0dd7-4ea9-a948-b37effaa8f49","motor-driven servo system"
"053ada54-5173-420e-b36f-2164ab874c58","synergetic control"
