publisherID, EditionID(conferenceID/workshopID)
"ab066af1-bfee-42da-84bb-42f7e199d0d0",ceff2b61-20d1-462f-84e2-5e79c7876afa
"ab066af1-bfee-42da-84bb-42f7e199d0d0",9708e375-3110-457b-bf2b-6404996f3023
"ab066af1-bfee-42da-84bb-42f7e199d0d0",04ab5286-50ac-4de3-9944-bcca8de09294
"ab066af1-bfee-42da-84bb-42f7e199d0d0",705ddd33-f8b3-48f9-9b7e-8dff5ffd9445
"ab066af1-bfee-42da-84bb-42f7e199d0d0",ab4bb8fa-fcc5-4939-acd9-282be9040d83
"ab066af1-bfee-42da-84bb-42f7e199d0d0",adeddb4f-834f-42b3-a857-f079b082abaf
"ab066af1-bfee-42da-84bb-42f7e199d0d0",ddbe4936-6581-4984-a47e-236cfae7ad0a
"ab066af1-bfee-42da-84bb-42f7e199d0d0",dec97e7d-b149-4ad0-b027-525d1d8421ae
"ab066af1-bfee-42da-84bb-42f7e199d0d0",235f939d-b553-454e-8e81-f8f794ce699b
"ab066af1-bfee-42da-84bb-42f7e199d0d0",22158dd3-3347-41c1-9103-3340011cbe74
"ab066af1-bfee-42da-84bb-42f7e199d0d0",8c1f8375-d5e5-4e6e-a215-c62a2c6068fa
"ab066af1-bfee-42da-84bb-42f7e199d0d0",20809492-0659-4cd5-8153-5dd1cd1932a1
"ab066af1-bfee-42da-84bb-42f7e199d0d0",ecd6a24c-99ad-41b0-acd9-aba8972c2d16
"ab066af1-bfee-42da-84bb-42f7e199d0d0",5cc0c6dc-53b0-4425-95a6-2d94cae00190
"ab066af1-bfee-42da-84bb-42f7e199d0d0",dda8df58-03d4-4bee-991a-70ef2e0965fc
"ab066af1-bfee-42da-84bb-42f7e199d0d0",1ab0de4a-40dc-4995-96ab-84872eaca46c
"ab066af1-bfee-42da-84bb-42f7e199d0d0",4b4fb183-fecb-428b-924e-ec9609d35f19
"ab066af1-bfee-42da-84bb-42f7e199d0d0",95d88562-ddb9-4713-8473-b0ddb62dfd8c
"ab066af1-bfee-42da-84bb-42f7e199d0d0",5f8907d4-ede8-482a-8476-fe882cf504f6
"ab066af1-bfee-42da-84bb-42f7e199d0d0",b1ad2506-61eb-479f-86e5-74f612599586
"ab066af1-bfee-42da-84bb-42f7e199d0d0",039e8fb8-82cf-49f1-a2bb-9a2e404d4adb
"1901e811-ee72-4b20-8f7e-de08cd395a10",6e2392e6-22b2-42b0-950a-d39ec82eea8e
"1901e811-ee72-4b20-8f7e-de08cd395a10",10210288-da36-438e-8284-d6ace6d87e97
"1901e811-ee72-4b20-8f7e-de08cd395a10",1a5f837f-b305-4c19-bf8c-92d860d644d3
"1901e811-ee72-4b20-8f7e-de08cd395a10",95b50369-d4b0-4c24-84b6-85ff0f67ca94
"1901e811-ee72-4b20-8f7e-de08cd395a10",17ade833-4f37-4a5b-8906-8f113060a578
"1901e811-ee72-4b20-8f7e-de08cd395a10",6b50127b-2900-47a9-924c-1c6239872a67
"1901e811-ee72-4b20-8f7e-de08cd395a10",2f167b82-b6e4-4fe9-a13a-39f3de78a3eb
"1901e811-ee72-4b20-8f7e-de08cd395a10",76e357be-cffb-4900-9237-7f6a96d15139
"1901e811-ee72-4b20-8f7e-de08cd395a10",f66232dc-4fcd-40a7-8703-a8fadaba3d3f
"1901e811-ee72-4b20-8f7e-de08cd395a10",9d4bc406-3a74-4a9b-bf28-8582ef808bbc
"1901e811-ee72-4b20-8f7e-de08cd395a10",c8cc9baa-d3ea-49a4-8d70-cd21f1fea5a0
"1901e811-ee72-4b20-8f7e-de08cd395a10",84364098-4d19-4894-b9c2-51c63c085526
"1901e811-ee72-4b20-8f7e-de08cd395a10",3858544b-9bda-4461-a27a-f7a6d2847145
"1901e811-ee72-4b20-8f7e-de08cd395a10",23ceb82d-0978-4277-b3f7-28a71521c145
"1901e811-ee72-4b20-8f7e-de08cd395a10",c34d271e-9536-47ed-bfca-43945f5438d3
"1901e811-ee72-4b20-8f7e-de08cd395a10",50e6100a-25b8-4e78-beb8-e2bdc054ec41
"1901e811-ee72-4b20-8f7e-de08cd395a10",ddddce38-2489-4025-be55-e70b72009e9e
"1901e811-ee72-4b20-8f7e-de08cd395a10",6ae8c33c-2547-45bc-bb1c-d97266bdf9fa
"1901e811-ee72-4b20-8f7e-de08cd395a10",68f9baa0-adf3-45a7-82a2-d351cc769447
"1901e811-ee72-4b20-8f7e-de08cd395a10",02e43da6-02c2-49f9-981d-e0e9bbd72272
"1901e811-ee72-4b20-8f7e-de08cd395a10",60e3d101-3ba3-4fd3-9ebf-f8de0a33afb8
"1901e811-ee72-4b20-8f7e-de08cd395a10",c8dde020-46ee-4bc5-8543-5aa44311a684
"1901e811-ee72-4b20-8f7e-de08cd395a10",d6af0dc5-4107-4ca4-b64c-eed8a5ded0ca
"1901e811-ee72-4b20-8f7e-de08cd395a10",a45c72bd-9a4c-458a-bf25-44923ab7b1cd
"1901e811-ee72-4b20-8f7e-de08cd395a10",94c4b5e7-54a6-4cc7-8867-afe221fc39d2
"1901e811-ee72-4b20-8f7e-de08cd395a10",3502c6d9-445c-4e70-ba0e-b648c8fc8269
"1901e811-ee72-4b20-8f7e-de08cd395a10",cdd5001b-c1ba-478e-b2a7-038cedcd8885
"1901e811-ee72-4b20-8f7e-de08cd395a10",f291d6d8-5f64-423d-96d6-b61a1542a1e4
"1901e811-ee72-4b20-8f7e-de08cd395a10",34ec7f2f-fb1c-4336-af24-c6acc458b6ef
